# y+ ()       
# Time        	patch         	min           	max           	average       
0.067         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.068         	walls	5.397301e+00	3.993969e+01	1.500500e+01
0.068         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.069         	walls	5.360871e+00	3.993975e+01	1.500278e+01
0.069         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	walls	5.382130e+00	3.993979e+01	1.500337e+01
0.07          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.071         	walls	5.386647e+00	3.993959e+01	1.500334e+01
0.071         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.072         	walls	5.327416e+00	3.993969e+01	1.500273e+01
0.072         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.073         	walls	5.403948e+00	3.993974e+01	1.500420e+01
0.073         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.074         	walls	5.365639e+00	3.993966e+01	1.500395e+01
0.074         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.075         	walls	5.345285e+00	3.993969e+01	1.500241e+01
0.075         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.076         	walls	5.339415e+00	3.993972e+01	1.500273e+01
0.076         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.077         	walls	5.357430e+00	3.993960e+01	1.500296e+01
0.077         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.078         	walls	5.361663e+00	3.993974e+01	1.500269e+01
0.078         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.079         	walls	5.385408e+00	3.993966e+01	1.500395e+01
0.079         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.08          	walls	5.385358e+00	3.993970e+01	1.500317e+01
0.08          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.081         	walls	5.371819e+00	3.993967e+01	1.500232e+01
0.081         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.082         	walls	5.377051e+00	3.993974e+01	1.500338e+01
0.082         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.083         	walls	5.388945e+00	3.993965e+01	1.500348e+01
0.083         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.084         	walls	5.404860e+00	3.993963e+01	1.500401e+01
0.084         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.085         	walls	5.373852e+00	3.993962e+01	1.500373e+01
0.085         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.086         	walls	5.353703e+00	3.993967e+01	1.500333e+01
0.086         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.087         	walls	5.376029e+00	3.993976e+01	1.500402e+01
0.087         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.088         	walls	5.392167e+00	3.993968e+01	1.500501e+01
0.088         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.089         	walls	5.335601e+00	3.993970e+01	1.500181e+01
0.089         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.09          	walls	5.399188e+00	3.993968e+01	1.500426e+01
0.09          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.091         	walls	5.372250e+00	3.993973e+01	1.500363e+01
0.091         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.092         	walls	5.363869e+00	3.993973e+01	1.500321e+01
0.092         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.093         	walls	5.370504e+00	3.993969e+01	1.500274e+01
0.093         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.094         	walls	5.380630e+00	3.993966e+01	1.500406e+01
0.094         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.095         	walls	5.385283e+00	3.993969e+01	1.500405e+01
0.095         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.096         	walls	5.391539e+00	3.993958e+01	1.500338e+01
0.096         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.097         	walls	5.389436e+00	3.993980e+01	1.500330e+01
0.097         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.098         	walls	5.360936e+00	3.993967e+01	1.500323e+01
0.098         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.099         	walls	5.373494e+00	3.993956e+01	1.500326e+01
0.099         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	walls	5.355749e+00	3.993959e+01	1.500263e+01
0.1           	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.101         	walls	5.367896e+00	3.993977e+01	1.500394e+01
0.101         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.102         	walls	5.379234e+00	3.993959e+01	1.500329e+01
0.102         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.103         	walls	5.378309e+00	3.993965e+01	1.500333e+01
0.103         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.104         	walls	5.384042e+00	3.993962e+01	1.500395e+01
0.104         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.105         	walls	5.406056e+00	3.993971e+01	1.500428e+01
0.105         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.106         	walls	5.357522e+00	3.993971e+01	1.500281e+01
0.106         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.107         	walls	5.336320e+00	3.993962e+01	1.500243e+01
0.107         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.108         	walls	5.375898e+00	3.993951e+01	1.500440e+01
0.108         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.109         	walls	5.377522e+00	3.993962e+01	1.500369e+01
0.109         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.11          	walls	5.370107e+00	3.993964e+01	1.500318e+01
0.11          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.111         	walls	5.381958e+00	3.993970e+01	1.500140e+01
0.111         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.112         	walls	5.362579e+00	3.993966e+01	1.500217e+01
0.112         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.113         	walls	5.332480e+00	3.993965e+01	1.500221e+01
0.113         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.114         	walls	5.357272e+00	3.993958e+01	1.500311e+01
0.114         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.115         	walls	5.411344e+00	3.993965e+01	1.500384e+01
0.115         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.116         	walls	5.357702e+00	3.993974e+01	1.500283e+01
0.116         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.117         	walls	5.391097e+00	3.993963e+01	1.500361e+01
0.117         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.118         	walls	5.370018e+00	3.993963e+01	1.500342e+01
0.118         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.119         	walls	5.395792e+00	3.993954e+01	1.500449e+01
0.119         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.12          	walls	5.369882e+00	3.993957e+01	1.500367e+01
0.12          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.121         	walls	5.382215e+00	3.993968e+01	1.500307e+01
0.121         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.122         	walls	5.375448e+00	3.993974e+01	1.500277e+01
0.122         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.123         	walls	5.363249e+00	3.993981e+01	1.500234e+01
0.123         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.124         	walls	5.388146e+00	3.993962e+01	1.500444e+01
0.124         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
