"Points:0","Points:1","Points:2","arc_length","p"
0.218566,0.0536693,0.005,0.11794,129254
0.218179,0.0537896,0.005,0.118345,129648
0.217798,0.0539084,0.005,0.118744,129934
0.21741,0.054029,0.005,0.11915,130116
0.217032,0.0541469,0.005,0.119546,129979
0.216645,0.0542671,0.005,0.119952,129836
0.21627,0.0543839,0.005,0.120344,130130
0.215887,0.0545083,0.005,0.120747,130588
0.215518,0.0546334,0.005,0.121137,130772
0.215138,0.0547621,0.005,0.121538,130932
0.21477,0.0548866,0.005,0.121926,131272
0.21439,0.0550152,0.005,0.122327,131492
0.214023,0.0551396,0.005,0.122715,131428
0.213643,0.0552682,0.005,0.123116,131340
0.213276,0.0553924,0.005,0.123504,131463
0.212898,0.0555207,0.005,0.123903,131734
0.212534,0.0556507,0.005,0.124289,131943
0.212161,0.0557863,0.005,0.124686,132144
0.2118,0.0559174,0.005,0.12507,132485
0.21143,0.0560516,0.005,0.125464,132723
0.21107,0.0561824,0.005,0.125847,132744
0.210704,0.0563152,0.005,0.126236,132816
0.210343,0.0564464,0.005,0.12662,132992
0.209979,0.0565786,0.005,0.127008,132868
0.209615,0.0567107,0.005,0.127395,132878
0.209252,0.0568459,0.005,0.127782,133288
0.208888,0.056986,0.005,0.128172,133616
0.208527,0.0571245,0.005,0.128559,133664
0.208161,0.0572654,0.005,0.128951,133745
0.207802,0.0574033,0.005,0.129336,133994
0.207436,0.0575439,0.005,0.129728,134170
0.207078,0.0576814,0.005,0.130111,134144
0.206716,0.0578206,0.005,0.130499,134152
0.206358,0.0579583,0.005,0.130883,134272
0.205998,0.0580965,0.005,0.131268,134302
0.205641,0.0582389,0.005,0.131653,134483
0.205285,0.0583824,0.005,0.132036,134816
0.20493,0.0585259,0.005,0.132419,135040
0.204575,0.058669,0.005,0.132802,135059
0.20422,0.058812,0.005,0.133185,135156
0.203864,0.0589558,0.005,0.133569,135376
0.203511,0.0590983,0.005,0.133949,135345
0.203151,0.0592433,0.005,0.134337,135314
0.202799,0.0593854,0.005,0.134717,135456
0.202441,0.0595299,0.005,0.135103,135632
0.202091,0.0596747,0.005,0.135482,135729
0.201739,0.0598222,0.005,0.135864,135885
0.201389,0.0599688,0.005,0.136243,136132
0.20104,0.0601153,0.005,0.136622,136166
0.200689,0.0602625,0.005,0.137002,136256
0.200339,0.0604096,0.005,0.137382,136458
0.199986,0.0605574,0.005,0.137765,136446
0.199634,0.0607052,0.005,0.138146,136445
0.199282,0.0608529,0.005,0.138528,136562
0.19893,0.0610003,0.005,0.13891,136657
0.19858,0.0611481,0.005,0.13929,136722
0.198233,0.0612988,0.005,0.139668,136884
0.197885,0.0614497,0.005,0.140047,137106
0.197538,0.0616001,0.005,0.140425,137128
0.197188,0.0617515,0.005,0.140807,137213
0.19684,0.0619028,0.005,0.141186,137412
0.196489,0.0620548,0.005,0.141569,137398
0.196138,0.0622068,0.005,0.141951,137406
0.195788,0.0623586,0.005,0.142333,137551
0.195438,0.0625103,0.005,0.142714,137647
0.19509,0.0626614,0.005,0.143094,137648
0.194743,0.0628143,0.005,0.143473,137773
0.194397,0.0629688,0.005,0.143852,137998
0.194051,0.0631229,0.005,0.14423,138021
0.193703,0.063278,0.005,0.144611,138099
0.193356,0.0634328,0.005,0.144991,138288
0.193007,0.0635885,0.005,0.145374,138291
0.192658,0.0637441,0.005,0.145756,138316
0.19231,0.0638995,0.005,0.146137,138472
0.191962,0.0640547,0.005,0.146518,138574
0.191616,0.0642092,0.005,0.146897,138528
0.191271,0.064363,0.005,0.147274,138593
0.190928,0.0645188,0.005,0.147651,138808
0.190587,0.0646742,0.005,0.148026,138833
0.190246,0.0648293,0.005,0.148401,138900
0.189906,0.0649842,0.005,0.148774,139078
0.189567,0.065139,0.005,0.149147,139090
0.189227,0.065294,0.005,0.149521,139132
0.188885,0.0654496,0.005,0.149896,139280
0.188543,0.0656054,0.005,0.150272,139284
0.188199,0.0657625,0.005,0.15065,139313
0.187854,0.0659197,0.005,0.151029,139426
0.187506,0.0660779,0.005,0.151412,139440
0.18716,0.0662385,0.005,0.151793,139511
0.186814,0.0663992,0.005,0.152175,139686
0.186469,0.0665595,0.005,0.152555,139820
0.186125,0.0667193,0.005,0.152934,139818
0.185782,0.0668783,0.005,0.153312,139868
0.185441,0.0670369,0.005,0.153688,140016
0.185101,0.0671948,0.005,0.154063,140014
0.184761,0.0673524,0.005,0.154438,140049
0.184423,0.0675096,0.005,0.154811,140169
0.184084,0.0676666,0.005,0.155184,140150
0.183746,0.0678238,0.005,0.155557,140212
0.183409,0.0679823,0.005,0.15593,140384
0.183072,0.0681409,0.005,0.156302,140398
0.182735,0.0682994,0.005,0.156674,140447
0.182398,0.068458,0.005,0.157047,140592
0.182061,0.0686166,0.005,0.157419,140598
0.181724,0.0687752,0.005,0.157792,140640
0.181387,0.0689339,0.005,0.158164,140768
0.181049,0.0690927,0.005,0.158538,140757
0.180711,0.0692518,0.005,0.158911,140786
0.180372,0.0694115,0.005,0.159286,140911
0.180032,0.0695718,0.005,0.159662,140928
0.17969,0.0697345,0.005,0.160041,140990
0.179347,0.0698973,0.005,0.16042,141138
0.179003,0.0700611,0.005,0.160801,141140
0.178658,0.0702249,0.005,0.161183,141152
0.178314,0.0703887,0.005,0.161564,141276
0.17797,0.0705521,0.005,0.161945,141368
0.177627,0.070715,0.005,0.162325,141362
0.177286,0.0708772,0.005,0.162702,141393
0.176946,0.0710389,0.005,0.163079,141502
0.176607,0.0711999,0.005,0.163454,141498
0.176269,0.0713611,0.005,0.163829,141540
0.175932,0.0715223,0.005,0.164202,141674
0.175596,0.0716833,0.005,0.164575,141686
0.17526,0.0718443,0.005,0.164947,141724
0.174924,0.0720051,0.005,0.16532,141836
0.174587,0.0721659,0.005,0.165693,141836
0.174251,0.0723267,0.005,0.166066,141871
0.173915,0.0724875,0.005,0.166438,141986
0.173579,0.0726483,0.005,0.166811,141984
0.173243,0.0728091,0.005,0.167183,142014
0.172907,0.0729699,0.005,0.167556,142133
0.172571,0.0731312,0.005,0.167929,142138
0.172235,0.0732924,0.005,0.168301,142169
0.171899,0.0734536,0.005,0.168674,142282
0.171563,0.0736148,0.005,0.169047,142280
0.171227,0.073776,0.005,0.169419,142317
0.170892,0.0739372,0.005,0.169791,142436
0.170556,0.0740985,0.005,0.170164,142432
0.17022,0.0742597,0.005,0.170536,142455
0.169883,0.0744211,0.005,0.17091,142566
0.169547,0.0745826,0.005,0.171283,142567
0.16921,0.0747443,0.005,0.171657,142592
0.168871,0.0749068,0.005,0.172033,142706
0.168533,0.0750694,0.005,0.172408,142707
0.168191,0.0752334,0.005,0.172787,142730
0.167849,0.0753975,0.005,0.173166,142842
0.167505,0.0755626,0.005,0.173548,142840
0.167161,0.0757277,0.005,0.173929,142846
0.166817,0.0758928,0.005,0.174311,142950
0.166474,0.0760576,0.005,0.174691,143038
0.166132,0.0762218,0.005,0.175071,143028
0.165791,0.076385,0.005,0.175449,143046
0.165451,0.0765477,0.005,0.175826,143146
0.165113,0.0767096,0.005,0.176201,143146
0.164775,0.0768713,0.005,0.176575,143169
0.164438,0.0770326,0.005,0.176949,143266
0.164101,0.0771937,0.005,0.177322,143265
0.163765,0.0773547,0.005,0.177695,143288
0.163428,0.0775156,0.005,0.178068,143389
0.163092,0.0776766,0.005,0.178441,143401
0.162756,0.0778375,0.005,0.178814,143428
0.16242,0.0779979,0.005,0.179186,143514
0.162083,0.0781579,0.005,0.179559,143500
0.161746,0.0783179,0.005,0.179932,143520
0.16141,0.0784779,0.005,0.180304,143614
0.161073,0.0786379,0.005,0.180677,143612
0.160737,0.0787978,0.005,0.181049,143633
0.1604,0.0789578,0.005,0.181422,143726
0.160063,0.0791179,0.005,0.181795,143734
0.159727,0.0792779,0.005,0.182168,143764
0.15939,0.079438,0.005,0.182541,143849
0.159052,0.0795974,0.005,0.182914,143836
0.158714,0.0797569,0.005,0.183288,143850
0.158374,0.079917,0.005,0.183664,143939
0.158034,0.0800774,0.005,0.18404,143936
0.157691,0.0802391,0.005,0.184419,143956
0.157348,0.0804009,0.005,0.184798,144050
0.157002,0.0805638,0.005,0.185181,144055
0.156657,0.0807266,0.005,0.185562,144074
0.156312,0.0808895,0.005,0.185944,144158
0.155967,0.0810512,0.005,0.186325,144207
0.155622,0.0812114,0.005,0.186705,144186
0.15528,0.0813709,0.005,0.187083,144199
0.154938,0.08153,0.005,0.18746,144280
0.154598,0.0816884,0.005,0.187835,144274
